802190093,1,Edificio de Biologia,4,26,1300,1500,2
802190095,2,Edificio Stefani,5,2,1000,1200,2
802190095,3,Edificio Ingenieria Quimica,5,3,1100,1300,2
802190097,4,Centro de Estudiantes,4,28,0900,1100,2
802190099,5,Centro de Estudiantes,5,5,0800,1000,2
802190101,6,Edificio de Biologia,5,6,0900,1100,2
802190101,7,Edificio Stefani,5,7,1300,1500,2
802190093,8,Edificio de Biologia,5,8,0900,1100,2
802190097,9,Centro de Estudiantes,5,9,1400,1600,2
802190099,10,Edificio Ingenieria Quimica,5,10,1000,1200,2
